round,FedPer,FedCP
1,0.1015,0.1008
2,0.1083,0.1021
3,0.1142,0.1062
4,0.1155,0.1135
5,0.1183,0.1202
6,0.1231,0.1224
7,0.1242,0.1255
8,0.1269,0.1257
9,0.13,0.1276
10,0.1336,0.1327
11,0.134,0.1389
12,0.1377,0.144
13,0.141,0.1483
14,0.1422,0.1486
15,0.1467,0.1497
16,0.1502,0.1549
17,0.156,0.1591
18,0.1636,0.1645
19,0.1732,0.1694
20,0.1805,0.1736
21,0.1877,0.1789
22,0.1944,0.1835
23,0.2034,0.1894
24,0.212,0.1973
25,0.2198,0.1997
26,0.2259,0.2023
27,0.2306,0.2072
28,0.2402,0.2097
29,0.245,0.2152
30,0.2486,0.2173
31,0.2548,0.2225
32,0.2558,0.2268
33,0.2617,0.2311
34,0.2647,0.2344
35,0.2676,0.2378
36,0.2737,0.2417
37,0.2768,0.243
38,0.2816,0.2467
39,0.2881,0.2483
40,0.2899,0.2523
41,0.2915,0.2558
42,0.2938,0.259
43,0.2983,0.2631
44,0.2989,0.2683
45,0.3036,0.2719
46,0.3048,0.2775
47,0.306,0.2807
48,0.3131,0.2844
49,0.315,0.2878
50,0.3218,0.291
51,0.3216,0.2944
52,0.3261,0.2987
53,0.3295,0.3029
54,0.333,0.308
55,0.3362,0.3097
56,0.3414,0.3132
57,0.3432,0.3155
58,0.3451,0.3182
59,0.347,0.3208
60,0.3508,0.3235
61,0.3543,0.326
62,0.3568,0.3291
63,0.3593,0.3307
64,0.3615,0.3308
65,0.3615,0.3333
66,0.366,0.3356
67,0.3697,0.3414
68,0.3708,0.3405
69,0.373,0.3427
70,0.3729,0.3459
71,0.3776,0.3475
72,0.378,0.3495
73,0.3786,0.3521
74,0.3817,0.3514
75,0.3828,0.3514
76,0.3829,0.3559
77,0.385,0.3613
78,0.3888,0.3614
79,0.3905,0.3625
80,0.3881,0.3625
81,0.3931,0.3661
82,0.3966,0.3678
83,0.3961,0.37
84,0.3982,0.3706
85,0.4016,0.371
86,0.4003,0.3719
87,0.4004,0.3741
88,0.4053,0.3745
89,0.4048,0.3765
90,0.4053,0.3795
91,0.4071,0.3809
92,0.4076,0.3814
93,0.4095,0.3817
94,0.4109,0.3827
95,0.4124,0.3859
96,0.4174,0.3904
97,0.4149,0.3912
98,0.417,0.3936
99,0.418,0.3915
100,0.4194,0.3947
101,0.4238,0.3957
